GeneID,GSM3589673,GSM3589674,GSM3589675,GSM3589676,GSM3589677,GSM3589678,GSM3589679,GSM3589680,GSM3589681,GSM3589682,GSM3589683,GSM3589684,GSM3589685,GSM3589686,GSM3589687,GSM3589688
57590,1916,1441,1043,1312,2048,1460,1781,1994,730,1506,1623,1430,1221,1570,1236,619
65080,477,343,437,254,384,229,319,359,262,168,287,236,277,176,537,208
5270,243,3330,104,480,1153,16218,333,405,135,655,656,167,263,395,2841,229
105373908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79843,8,15,14,14,18,13,20,61,13,19,27,18,15,43,4,20
8452,3821,2685,3908,2237,2188,1457,2434,2936,1825,1722,2999,2272,1882,1594,2373,1591
105373909,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
105373910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105373911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55619,426,2198,1792,1319,4959,5199,1550,3987,519,8151,4232,1768,3564,4710,1523,945
100616207,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
57624,6,12,8,5,48,3,454,17,26,50,49,0,13,97,9,79
105373914,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
107985992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
646736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105373915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100847053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3667,1046,1455,173,681,458,179,2297,1588,214,338,395,2144,719,2640,806,632
84236,619,531,531,403,672,351,351,682,190,793,428,458,548,608,345,361
1286,705,330,2007,103,939,876,1631,379,435,169,2076,2083,762,2567,803,744
1285,745,171,2296,124,699,429,4383,405,787,199,3312,2413,645,3798,687,2108
654841,4,2,5,0,4,1,5,4,2,1,2,9,5,5,4,4
56947,1431,934,952,900,896,747,866,833,1949,487,1020,834,724,934,2012,527
79853,2,8,9,2,5,9,0,2,9,2,0,3,8,15,7,5
100847081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3267,2187,1924,1574,2039,2026,2614,1903,1740,2410,2742,2436,1963,1896,1613,8313,1175
56918,3,1,0,1,1,2,0,0,4,3,3,0,1,7,9,0
729968,0,1,1,0,0,2,0,0,7,4,2,0,0,0,3,0
80704,28,167,19,5,12,19,102,24,26,43,518,131,19,187,429,2
6364,11,9,8,281,17,50,4,97,23,304,2417,388,24,54,1034,11
164781,1,2,10,6,0,24,18,735,25,33,159,164,0,489,37,17
105373918,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80309,8,3,2,1,16,0,0,21,44,17,7,1,4,34,5,0
107985993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928765,0,0,3,2,1,0,0,0,1,0,0,0,3,0,1,0
105373921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105373920,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105373919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55022,18,62,556,41,136,63,316,265,53,283,274,48,26,226,34,25
92737,17,9,147,24,964,13,1265,640,22,23,48,29,3,210,108,452
107985994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105373923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9320,12320,8328,7054,8599,10435,7330,8219,11237,12322,8138,10863,8455,7394,7525,10084,5277
130888,48,7,27,37,24,18,43,176,20,9,21,29,32,114,41,19
105373924,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
107985996,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,3
151473,11,160,69,50,719,7,97,79,8,7,28,60,115,123,234,96
107985995,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1
107985997,0,0,0,0,2,0,0,2,0,0,0,0,1,2,1,0
3431,471,1891,3140,2409,4684,2940,2568,3807,4540,3889,3506,2577,2081,3231,2558,808
11262,247,1016,293,523,2877,1088,435,1901,457,2598,1088,362,1574,1890,693,180
93349,1740,1501,2741,2752,2163,1765,2056,1905,4413,1083,2339,1241,1887,2141,1683,825
105373925,126,126,202,233,186,155,143,172,133,105,102,171,193,260,224,110
6672,995,2126,1786,2626,3983,3788,3329,4574,6079,4646,4243,4335,2926,4591,2237,1643
101928816,1,1,2,3,6,1,1,3,4,1,1,14,10,24,6,3
112268431,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0
151475,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51719,579,609,568,713,887,1138,1011,1029,818,593,979,742,616,526,853,623
81618,514,1116,1056,266,841,436,856,1216,301,424,346,335,454,397,262,311
151484,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9290,4,3,9,1,8,2,0,30,20,34,3,19,24,36,15,2
348761,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
130560,1,0,0,0,0,0,0,0,31,1,2,0,0,0,0,0
257407,78,11,2,6,1,6,1,1,24,7,8,1,0,13,2,0
112268432,2,1,0,2,0,1,1,1,2,0,0,4,4,4,4,0
5707,8001,3994,3358,3583,3871,2267,3868,3511,8832,2057,4628,3659,3830,2561,5128,2719
3357,455,214,314,310,303,211,125,213,306,194,215,407,685,533,498,350
80210,588,498,354,496,625,1001,1161,1149,269,78,790,1203,528,1778,291,788
100616317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93010,47,63,66,70,149,733,374,513,60,39,178,112,37,252,26,89
4691,42199,31700,33640,21252,16952,9217,38336,24547,88963,30659,64955,16177,9540,8531,26147,6196
654321,26,10,19,6,11,7,12,10,65,55,23,30,52,36,68,22
6082,10,11,11,4,2,3,1,3,7,16,6,18,10,13,21,4
25826,24,14,26,8,12,5,5,12,10,9,8,24,14,19,26,5
107985998,0,2,6,3,3,2,1,0,8,0,3,3,2,4,0,2
151477,57,23,29,27,31,2,18,10,59,20,12,14,7,21,32,14
10316,2,11,3,1,6,11,2,17,57,45,16,5,7,21,4,1
105376787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165100,1,0,10,0,7,0,0,12,27,11,2,1,0,9,1,0
105373928,2,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
5757,31862,25846,38234,18920,20370,11524,49871,28428,89798,45563,76033,16934,10959,10031,21761,11153
100302285,2343,1753,2200,1217,1347,831,1421,1825,3637,1575,2031,1449,1971,987,2031,1396
5147,265,121,164,67,149,95,183,153,292,78,162,135,106,120,87,83
64708,882,650,1057,404,643,422,774,855,581,172,324,714,492,906,924,401
100302126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4880,3,12,4,22,2,1,0,13,39,5,4,1,2,3,0,0
129563,2298,1330,2311,1591,1799,832,1432,2381,1190,483,897,1578,1619,3582,1762,1279
693147,8,9,15,5,8,5,3,8,6,3,5,6,18,23,12,4
250,58,5,855,2,209,7,334,5,367,115,77,8,19,285,1059,2
347694,0,1,179,0,12,0,44,1,94,26,14,0,0,47,1,0
251,21,8,1834,2,157,3,196,9,232,96,49,3,11,288,174,10
107985999,0,0,42,0,3,0,1,0,0,0,0,0,0,3,0,0
248,0,0,4,0,0,0,1,0,192,78,12,0,2,6,180,0
9427,70,9,7,54,73,2,8,23,150,67,24,14,9,30,42,13
646960,5,0,4,0,0,0,0,0,86,23,14,1,0,0,17,7
1144,33,22,94,19,86,26,24,24,131,141,22,38,33,46,138,1197
1146,172,108,357,143,184,96,118,161,179,159,45,192,147,285,242,604
200765,139,60,156,56,64,31,35,67,236,18,28,98,109,178,138,68
100847037,1,0,1,1,1,0,1,1,3,2,1,0,0,0,0,0
9470,1475,934,916,787,860,812,1228,812,1085,393,1444,734,566,617,975,532
105373929,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0
80303,353,30,10,13,28,5,114,90,42,22,8,19,12,47,6,34
26058,12479,5759,7195,5504,6555,4155,6187,8500,10343,4479,10698,5484,4347,7282,5844,3553
3769,430,242,368,236,247,166,199,271,301,221,227,263,370,673,333,313
389084,25,16,19,11,15,4,17,11,18,1,5,15,15,51,20,18
25791,25,79,336,61,13,13,486,110,95,25,10,260,37,145,35,80
101928881,0,0,0,0,0,0,0,1,8,1,0,1,0,2,0,0
4759,1,0,7,0,0,0,1,0,20,5,0,35,0,2,5,1
3635,273,1710,5611,906,4791,4371,895,4183,325,5729,2293,755,1566,3125,977,424
55054,1277,910,969,990,1840,744,2354,1523,867,888,971,1083,768,1330,1292,780
677775,1655,257,597,432,712,550,5576,1215,2532,11869,4398,10208,5806,24786,10744,14365
677772,247,55,121,70,129,84,820,207,79,962,216,1428,921,3422,1558,1506
6295,2,0,2,2,1,1,0,1,39,12,3,0,0,3,2,1
8527,767,760,2123,436,1945,623,1795,927,505,2257,808,1710,735,1519,733,1824
55230,114,970,2199,524,922,974,2483,1913,1750,232,1445,2389,1784,2572,2321,1164
54576,17,583,78,242,162,0,19,164,1095,20,13,30,120,136,411,0
54575,21,2883,65,1999,645,0,15,475,2547,12,20,53,1275,145,418,0
54600,8,899,55,583,241,2,14,182,1257,10,13,38,458,160,413,0
54577,8,908,66,594,266,1,15,225,7134,14,24,423,465,177,2665,10
54578,9,1838,50,568,730,5,50,545,2470,2,22,143,504,959,1728,0
54579,4,1078,23,469,351,2,37,379,1577,6,13,110,284,507,1262,0
54657,5,1193,17,509,382,5,34,427,1505,6,13,130,357,636,1321,0
54659,5,1061,12,395,296,0,25,264,1381,5,14,96,304,489,1044,0
414061,1,377,2,132,75,3,12,125,193,17,6,27,85,354,325,0
100286922,1,241,1,88,70,0,5,75,110,4,5,15,42,260,209,2
54658,4,965,8,349,291,1,28,301,1367,4,11,79,324,461,907,0
339766,9,18,196,9,9,4,6,13,250,26,16,11,47,24,86,0
55355,1862,977,1491,374,303,132,1064,101,2457,500,160,1426,719,269,1003,247
151507,560,207,160,201,55,30,296,90,484,7,50,267,189,104,86,64
79054,2,10,12,6,1,11,5,0,90,39,19,4,1,6,6,13
6694,1,0,0,0,0,1,0,0,9,4,2,0,0,0,0,0
105373932,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
105373933,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105373934,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0
10123,432,380,90,404,405,590,611,380,243,699,661,491,377,399,251,184
105373936,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
106144537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101927896,4,1,5,0,0,0,1,5,0,0,0,3,0,7,4,0
105373937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105373938,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0
23677,4713,385,2862,1356,519,385,1252,1502,692,225,444,1090,680,960,1340,916
105373939,8,1,9,1,0,0,0,2,2,0,0,6,3,7,7,4
105373940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105373941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116987,6697,956,2425,3134,1812,618,2966,3954,1405,609,1496,4043,1888,3560,4796,3008
100506749,12,1,9,4,1,0,2,5,0,0,0,7,5,11,29,12
27321,241,45,138,93,62,11,27,33,15,21,33,174,86,67,440,82
105373943,23,6,13,12,4,1,3,10,5,0,0,26,18,27,46,28
107986000,4,0,2,2,0,0,0,5,2,0,0,5,7,7,9,7
105373942,118,34,79,49,27,11,40,57,30,14,15,72,69,110,128,88
105373944,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2637,3,2,1,1,0,1,2,1,123,33,15,0,4,0,5,1
401036,2,1,0,3,3,0,5,0,48,21,2,0,2,1,2,34
79781,7,371,100,231,70,71,107,2207,115,32,676,22,511,654,66,40
105373945,1,4,3,4,0,1,0,9,3,0,0,2,22,21,4,1
57007,67,1232,148,969,358,140,280,809,704,668,374,113,1954,298,217,189
105373991,0,2,1,2,7,2,0,0,5,0,0,4,13,4,4,0
107986001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
105373946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105373947,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105373948,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
105373949,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
107986002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105373951,0,0,0,0,0,0,0,2,1,0,0,0,20,5,0,0
93463,2,1,3,2,2,1,0,5,1,0,1,0,8,14,10,0
105373950,2,4,6,0,2,0,1,7,3,0,0,4,9,11,12,0
10920,798,264,604,363,458,422,489,626,585,398,325,621,630,519,717,688
105373952,0,0,1,0,2,1,0,2,3,0,0,1,0,0,0,1
105373953,1,1,1,1,4,7,0,3,1,1,2,4,1,2,0,3
105373954,1,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0
1293,12792,58421,20914,85558,40632,125889,91862,34048,10883,36860,121831,79182,51863,53986,36538,33470
105373957,2,0,1,0,0,0,2,3,1,0,6,3,0,6,0,14
79083,2341,248,239,1140,744,235,6923,3553,418,104,4003,1789,103,7334,897,8329
102465486,7,1,0,1,1,0,9,2,4,2,6,5,0,13,2,11
51052,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2
64284,39,2,175,7,70,12,81,132,26,2,138,75,3,155,76,48
105373958,0,0,5,0,4,1,0,0,3,0,2,4,1,6,3,2
9208,3063,1600,2265,2944,5203,6619,4602,6006,6494,6595,7107,4723,2636,4207,5033,4039
375316,26,12,8,11,52,33,16,34,23,53,53,33,47,90,16,28
10267,0,36,4,29,75,96,313,60,40,48,24,178,30,68,28,57
105373960,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
100533179,431,238,259,350,483,416,531,326,546,664,600,505,324,284,521,286
140739,388,221,178,335,453,446,496,280,486,670,573,516,329,270,513,292
51540,90,48,105,53,93,27,90,82,125,36,57,67,52,82,99,47
339768,2,3,8,0,5,1,19,3,251,65,31,4,4,25,8,2
377007,3,9,5,5,22,13,18,17,58,26,13,11,4,48,26,376
151176,8,6,8,16,8,3,216,17,35,50,9,22,34,38,20,14
80895,955,379,835,602,581,402,833,725,632,671,505,674,687,715,776,644
151174,3,0,0,2,0,1,1,3,2,5,1,1,3,2,1,0
643387,9,4,8,3,3,2,4,1,15,6,1,1,2,4,1,0
55502,225,7,420,62,15,28,203,55,60,102,9,41,47,84,11,589
8864,1667,499,1302,2564,2115,1097,1009,4888,1250,1466,1532,1720,1297,3588,2307,818
112268433,1,0,0,0,2,0,0,4,1,0,0,1,1,1,2,0
105373961,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
26146,983,326,1080,703,842,495,1005,3370,1818,179,1148,516,469,1537,590,610
51665,334,114,145,199,249,254,257,318,153,90,167,657,157,391,221,153
107986003,14,2,10,4,13,9,5,17,4,0,3,41,12,30,14,16
151171,1,0,0,0,0,0,0,4,2,0,1,0,0,8,0,0
112268434,1,0,0,1,0,0,0,4,2,0,5,1,1,3,0,0
105373963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105373962,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
100287387,0,0,0,1,2,0,0,0,6,0,1,1,0,2,2,0
117581,15,12,2,30,6,117,16,97,40,18,30,74,6,93,27,2
401039,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,0
9759,3370,700,1451,1251,2179,2241,1406,2626,1990,3216,1098,1761,1329,2652,3499,1832
100616397,3,0,1,1,1,1,0,1,0,0,0,0,1,2,0,4
100616493,3,0,0,0,0,1,0,3,0,0,0,0,0,0,3,1
85009,3,1,3,2,1,2,0,2,0,2,0,10,5,7,13,3
100423043,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0
100616360,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
101928111,16,0,11,5,8,5,5,13,53,13,5,9,4,17,3,3
401040,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0
105373966,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
150935,0,0,3,0,0,1,0,0,7,1,1,1,0,1,1,0
4705,4075,1485,3613,2232,2408,1525,3194,3289,2968,1546,2215,2582,2275,2865,4991,2155
100616417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
389090,3,1,1,1,1,1,1,3,58,14,5,2,0,0,2,0
150681,2,1,1,1,31,0,1,3,34,15,4,1,0,0,2,0
150678,190,83,112,138,100,92,210,153,214,107,234,146,137,138,229,127
150677,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
107985836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105373968,4,1,0,0,1,0,0,4,1,0,0,0,0,5,1,0
102723825,0,5,1,0,0,0,0,0,0,3,0,0,1,2,13,1
2817,513,863,629,1578,352,490,1768,1648,2136,343,157,1374,896,1310,874,387
100130449,21,10,21,28,6,6,12,55,13,0,6,40,54,39,39,15
406941,1,0,2,3,0,0,1,5,10,1,0,2,0,6,1,0
51281,543,233,1112,477,734,410,766,2672,503,241,324,467,635,3043,1102,640
285193,30,12,32,15,28,18,24,47,26,19,12,29,24,61,28,35
57140,930,599,886,1119,1293,1436,2482,1500,272,925,682,900,569,1270,1141,502
101752400,11,5,11,4,3,3,2,9,2,0,0,17,22,17,22,8
11132,623,187,480,252,339,271,400,478,85,193,129,311,285,796,366,200
2859,27,18,105,13,15,99,42,75,53,50,14,36,49,223,38,121
653437,1,0,7,2,6,2,6,0,212,64,31,0,1,0,0,4
285191,2,0,8,0,0,0,1,0,10,1,1,0,0,0,0,9
375318,1,0,3,0,4,0,3,0,127,47,8,0,0,0,0,2
547,15053,6,28,65,8,32,41,13,219,44,29,38,1,64,7,352
189,0,0,1,1,1,0,0,0,80,23,11,1,0,0,1,3
79919,9,1,5,216,48,7,366,89,28,12,6,86,118,183,43,75
728763,3,4,3,64,4,30,8,1461,195,63,56,7,9,1524,5,5
112268440,0,0,0,7,1,1,0,54,26,5,4,0,1,58,0,1
200772,0,1,0,9,1,8,2,268,37,15,10,1,1,281,0,0
25992,118,362,225,455,720,290,714,1705,310,335,589,1428,416,4060,665,1552
107985787,1,3,1,1,5,1,1,12,1,1,0,25,6,37,8,23
105373970,0,1,3,2,5,1,2,10,2,0,3,21,5,25,8,21
130916,842,362,605,469,645,426,514,1377,934,528,1081,683,557,1309,779,756
23178,1932,298,1079,679,852,291,1108,1832,690,522,331,1244,892,2445,1192,1607
5510,800,343,696,781,782,577,1062,1104,1271,331,1142,623,494,668,726,481
105373971,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1
50636,342,120,275,187,192,164,565,270,271,102,181,218,136,313,329,211
105376810,4,1,1,2,1,1,2,1,1,0,0,6,2,6,4,3
3069,24829,12421,20684,22258,18239,17097,58828,25173,25034,8966,24659,13379,11503,12943,24835,8576
101927509,440,210,392,434,343,324,1174,453,338,172,340,324,290,343,590,233
4735,4694,2382,4420,3613,4295,3441,8109,5024,5704,3213,8303,3106,3200,2657,3211,1970
9855,822,423,3350,801,1012,573,1448,1375,686,411,512,988,1126,1643,682,833
105373973,4,0,13,1,2,2,0,1,0,0,0,11,5,8,3,0
100422942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10494,1569,565,1471,1117,1035,799,1774,1312,590,470,572,1147,722,1263,1414,946
107985788,1,1,1,0,0,0,2,0,2,0,1,1,1,1,5,0
100379249,1,1,2,2,0,1,3,1,1,0,0,1,1,2,0,0
105373974,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
666,17,17,11,81,77,25,206,53,44,17,84,101,47,134,58,48
105373975,7,2,3,6,4,5,9,6,6,1,0,14,7,19,11,8
51078,722,257,583,600,388,295,1061,659,719,237,474,555,291,452,705,209
23192,2315,613,1506,1440,1208,836,1484,1277,571,900,612,1465,980,1888,1318,691
1841,517,96,387,188,189,120,560,151,268,56,114,362,187,231,431,143
84289,865,188,664,334,423,216,494,570,420,269,266,455,253,643,381,229
728294,517,397,2076,738,704,370,997,1552,416,457,235,1095,509,1996,1103,611
